,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2012-Nissan-ALTIMA+BASE-for-Sale,"$ 6,822 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,NC - MEBANE,102496 ACTUAL,,Rear end,"$ 5,983 USD",Run & drive verified,Future Sale,Pure sale,Side,,VA CERTIFICATE OF TITLE - SALVAGE,1N4AL2AP2CC126890  Get instaVIN history report,
Salvage-2010-KIA-RIO+LX-for-Sale,"$ 3,726 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 4,698 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,KNADH4A36A6687765  Get instaVIN history report,
Salvage-2011-Ford-FOCUS+SES-for-Sale,"$ 2,840 USD",Sedan 4 door,09/10/2019 at 09.00 AM EDT,Red,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,NC - RALEIGH,258671 ACTUAL,,Front end,"$ 2,758 USD",Run & drive verified,09/10/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,SOLD ON TITLE PENDING,NC SALVAGE CERTIFICATE,1FAHP3GN5BW184813  Get instaVIN history report,
Salvage-2010-KIA-FORTE+EX-for-Sale,"$ 6,700 USD",Coupe,09/13/2019 at 09.00 AM EDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,MA - NORTH BOSTON,69339 ACTUAL,,Front end,"$ 5,473 USD",Run & drive verified,09/13/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,,MA SALVAGE TITLE,KNAFU6A29A5168836  Get instaVIN history report,
Salvage-2012-Scion-TC-for-Sale,"$ 8,331 USD",Hatchback,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,CO - COLORADO SPRINGS,60183 NOT ACTUAL,,Front end,"$ 5,772 USD",Run & drive verified,Future Sale,On minimum bid,Hail,,MI CLEAN TITLE,JTKJF5C72C3030198  Get instaVIN history report,
Salvage-1996-Honda-CIVIC+EX-for-Sale,"$ 1,000 USD",Coupe,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,VA - RICHMOND,207569 EXEMPT,,Front end,"$ 2,437 USD",Vehicle Starts,Future Sale,On approval,Mechanical,,VA CLEAN TITLE,1HGEJ8246TL065523  Get instaVIN history report,
Salvage-2005-Chevrolet-MALIBU-for-Sale,"$ 1,581 CAD",Sedan 4 door,,Silver,4,FRONT-WHEEL DRIVE,2.2L 4,Gasoline,YES,ATLANTIC CANADA AUCTION,314268 ACTUAL,,Front end,"$ 3,178 CAD",Run & drive verified,Future Sale,Pure sale,,,NB SALVAGE TITLE,1G1ZS52F35F310320  Get instaVIN history report,
Salvage-2015-Toyota-CAMRY+LE-for-Sale,"$ 11,600 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,CO - COLORADO SPRINGS,63350 ACTUAL,,Hail,"$ 9,472 USD",Run & drive verified,Future Sale,Pure sale,Front end,,CO CLEAN TITLE,4T4BF1FK8FR504286  Get instaVIN history report,
Salvage-2013-Hyundai-SONATA+SE-for-Sale,"$ 12,883 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - RALEIGH,0 NOT ACTUAL,,Water/flood,"$ 10,381 USD",Unknown,Future Sale,Pure sale,Biohazard/chemical,VEH LOC @ CONVERSE SUB LOT,SC FLOOD - SALVAGE,5NPEC4AC4DH678305  Get instaVIN history report,
Salvage-2010-Lincoln-MKT-for-Sale,"$ 8,692 USD",4dr sport,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.7L 6,Gasoline,YES,TX - DALLAS SOUTH,148801 ACTUAL,,Front end,"$ 14,048 USD",Vehicle Starts,Future Sale,Pure sale,,,TX SALVAGE VEHICLE TITLE,2LMHJ5FRXABJ50345  Get instaVIN history report,
Salvage-2002-Saturn-SL1-for-Sale,"$ 1,987 CAD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.9L 4,Gasoline,YES,AB - CALGARY,0 EXEMPT,,Front end,"$ 2,351 CAD",Unknown,Future Sale,On approval,,,BC VEH REGISTRATION-NO BRAND,1G8ZH52852Z117422  Get instaVIN history report,
Salvage-2015-Nissan-ALTIMA+2.5-for-Sale,"$ 9,761 USD",Sedan 4 door,09/13/2019 at 09.00 AM EDT,White,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,NO,MA - NORTH BOSTON,0 NOT ACTUAL,,Front end,"$ 12,471 USD",Unknown,09/13/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,,MA SALVAGE TITLE,1N4AL3AP3FC276856  Get instaVIN history report,
Salvage-2017-Ford-FOCUS+SE-for-Sale,"$ 11,595 USD",Sedan 4 door,,Silver,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,RENTAL VEHICLE SALE,37787 ACTUAL,,Front end,"$ 8,993 USD",Run & drive verified,Future Sale,On approval,,,MO SALVAGE CERTIFICATE,1FADP3F23HL300428  Get instaVIN history report,
Salvage-2000-Jeep-GRAND+CHEROKEE-for-Sale,"$ 2,103 USD",4dr sport,Virtual Sale date not set,Black,6,FOUR BY FOUR,4.0L 6,Gasoline,YES,NC - CHINA GROVE,0 EXEMPT,,Front end,"$ 5,133 USD",Unknown,Future Sale,On approval,,,NC BILL OF SALE,1J4GW48S7YC371932  Get instaVIN history report,
Salvage-2018-Mazda-CX-5+SPORT-for-Sale,"$ 20,468 USD",4dr sport,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,NO,TX - SAN ANTONIO,0 NOT ACTUAL,,Rear end,"$ 14,208 USD",Unknown,Future Sale,Pure sale,Front end,,TX SALVAGE VEHICLE TITLE,JM3KFABM6J1329575  Get instaVIN history report,
Salvage-2008-Chevrolet-CORVETTE-for-Sale,"$ 16,227 USD",Coupe,Virtual Sale date not set,Black,8,REAR-WHEEL DRIVE,6.2L 8,Gasoline,YES,IN - INDIANAPOLIS,0 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,Top/roof,,IN CLEAN TITLE,1G1YY26W385100913  Get instaVIN history report,
Salvage-2014-Ford-EDGE+SEL-for-Sale,"$ 16,737 USD",4dr sport,09/10/2019 at 09.00 AM EDT,Black,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,NC - RALEIGH,0 NOT ACTUAL,,Front end,"$ 13,985 USD",Unknown,09/10/2019 at 10.00 AM EDT,On minimum bid,,,NC SALVAGE CERTIFICATE,2FMDK4JC1EBA00764  Get instaVIN history report,
Salvage-2011-Buick-LACROSSE+C-for-Sale,,Sedan 4 door,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.6L 6,Gasoline,YES,NC - RALEIGH,0 NOT ACTUAL,,Water/flood,,Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,1G4GE5ED7BF234186  Get instaVIN history report,
Salvage-2006-Lexus-GS+GENERATION-for-Sale,"$ 8,508 USD",Sedan 4 door,Virtual Sale date not set,Blue,6,REAR-WHEEL DRIVE,3.0L 6,Gasoline,YES,NC - CHINA GROVE,99672 EXEMPT,,Front end,,Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,JTHBH96S065043164  Get instaVIN history report,
